category,title,info,roadAddress,lotNumberAddress,categoryName,homepage,image
여행,광주시민의숲,"도시,테마공원",광주 북구 추암로 190,월출동 968복,광주광역시,[],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzEwMjVfMzkg%2FMDAxNjk4MjEzMDk0NTU2.xm8UtSOUaUmz6xTGgTmOxfCpTzPWfI8Z7IbM4KK7bA4g.MFViFch8E-5C1bnAmnC9Ou1JCcwKu-F7HbFwplQLNV0g.JPEG%2F20231025_144841.jpg
여행,풍암정,"문화,유적",광주 북구 풍암제길 117,금곡동 718복,광주광역시,[],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fmoment-phinf.pstatic.net%2FMjAyMjEwMDhfMjUg%2FMDAxNjY1MjAzODMxMjcy.S40iEg3tD2fTZPvzmtnMognAzRQLrLidgrGutQaYa4Ug.2Eo1w7jNn2idEBk5f_XtAp8-7rkFrbx792kUk7sHGTwg.JPEG%2F7F168DFA-B9E7-4777-BB65-2D89FE51FDD8.jpg
여행,중외공원문화산책로,부속시설,주 북구 운암동 179-20,"우편번호
500170복",광주광역시,[],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjExMTBfMjIg%2FMDAxNjY4MDg2MDUxMTIw.yMC7el_a772JtgMLmqfSyje9q1AFfp7LeIrO_S842T0g.sJZAP7gbUbnkQPC6nmz3-Fd-h3-JzqoIwo3cRJ9Azocg.JPEG.huhasim%2F3Q0A6220.JPG
여행,5.18자유공원,"도시,테마공원",광주 서구 상무평화로 13,치평동 1161-6복,광주광역시,[],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_91%2F1441010475163pRCCp_JPEG%2F126172525026627_0.jpg
여행,전평제근린공원,근린공원,주 서구 매월동 519-1,"우편번호
502153복",광주광역시,[],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fmoment-phinf.pstatic.net%2FMjAyMzA3MTBfMjg2%2FMDAxNjg4OTc4ODM4NzE5.jGOVv-KJQOCvnGtKePyYgCq1kwxUDPW3GPNu43mfVDIg.tbdilLKktu8-hlvx8aufzBof-5KCT_w11GF8y9r9MXQg.JPEG%2F6d3bcfaa-1b17-4e44-8cd3-c069482607b6.jpg
여행,으능정이문화의거리,"공연,문화의거리",대전 중구 중앙로 145,은행동 216복,대전광역시,[],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA4MzBfMTUw%2FMDAxNjkzMzIzMzM2NDk4.ErwPaA56XkyKMrDMFvttv4kiNUPlhVYw9B9eouyJHJ4g.c3K-b9vkmTcTKwjX5npNenJZqN2sY028BIv3hfMYZyAg.JPEG%2F383D3926-70BE-431D-B0B6-AFC5B9972A77.jpeg
여행,조선대학교 장미원,부속건물,주 동구 서석동 300,"우편번호
61452복",광주광역시,['http://rose.chosun.ac.kr/'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxNzA1MjZfMjAx%2FMDAxNDk1Nzc0MTQ4NTIx.6mkykYPNIToFn993fiZMAcYOPBv-wgZ9wkeV-qwzrkQg.3_L6LbOA-AjJlfczgaFqmSqefXzDeJyLZ1jFHifjmXcg.JPEG.yunmin6817%2F20170514_184433.jpg%231260x709
여행,아우라지,"강,하천",,강원 정선군 여량면복,강원도 정선군,[],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA5MDZfMTQ4%2FMDAxNjkzOTU4NzIwMzM5.zBxO25E4rXl1_c9o1_FYsXrWkAu0li2kT34D-E6Xc68g.v3UU5-F4h_QPcSo1vk9Bya6YgHEy9GHB3ANzfhYPX9wg.JPEG%2F8CA4A6AF-46A1-4DFA-A211-B219E9AA1DB8.jpeg
여행,섬진강기차마을,체험마을,전남 곡성군 오곡면 기차마을로 232,오지리 770-5복,전라남도 곡성군,['www.railtrip.co.kr/homepage'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_264%2F1441015461631gJLuB_JPEG%2F11671289_0.jpg
여행,섬진강기차마을,체험마을,전남 곡성군 오곡면 기차마을로 232,오지리 770-5복,전라남도 곡성군,['www.railtrip.co.kr/homepage'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_264%2F1441015461631gJLuB_JPEG%2F11671289_0.jpg
여행,협재해수욕장,"해수욕장,해변",주 제주시 한림읍 협재리 2497-1,"우편번호
695934복",제주특별자치도 제주시,['http://www.visitjeju.net'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_140%2F1440992306384X3SLE_JPEG%2F157155537129409_0.jpg
여행,곽지해수욕장,"해수욕장,해변",,제주 제주시 애월읍 곽지리복,제주특별자치도 제주시,['http://www.visitjeju.net'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20231027_96%2F1698386288928p2Fip_JPEG%2Fccb8fcc6-748d-11ee-9c90-d4f5ef58ad5e_03.jpg
여행,김녕해수욕장,"해수욕장,해변",,제주 제주시 구좌읍 김녕리복,제주특별자치도 제주시,['http://www.visitjeju.net'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_251%2F1441045632841nja34_JPEG%2F157155537127418_0.jpg
여행,원효사,"절,사찰",광주 북구 무등로 1514-35 원효사,금곡동 846복,광주광역시,['http://www.wonhyosa.org/'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150206_227%2F1423207052399eg4z5_JPEG%2F%25B1%25A4%25C1%25D6_%25BF%25F8%25C8%25BF%25BB%25E7_1.JPG%3Ftype%3Dm500_500
여행,문화근린공원,근린공원,광주 북구 대천로 86,문흥동 1009-1복,광주광역시,[],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA5MjlfMTA2%2FMDAxNjk1OTQwNTk5NDg2.KI5unGd_xzASIb08O76EEczHh5ISZwVLqRMPjlwaal4g.rLmwC3gWtt1doDxNlMDalSG_qJuH8Ax8jwqMGj1am8Mg.JPEG%2F20230926_120233.jpg
여행,용봉초록습지,근린공원,주 북구 용봉동 1010-2,"우편번호
500845복",광주광역시,[],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fmoment-phinf.pstatic.net%2FMjAyMzA4MDFfMzEg%2FMDAxNjkwODUxNDIwMjgx.CQtrQM-_NZ-ZMccNYBkKFZpcskcmmMOZRNukB_x7WrUg.aFyxVOK8U9f5SxxGDJlzK7kmRcPXBF9NBivaurC0lJ8g.JPEG%2Fc84c20e5-6890-470d-a2dd-5580ecb3518a.jpg
여행,운암제,"저수지,제",,광주 북구 운암동복,광주광역시,[],
여행,국립5.18민주묘지,묘지,광주 북구 민주로 200 국립5.18민주묘지,운정동 산35복,광주광역시,['http://518.mpva.go.kr/'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150206_13%2F1423206941035w01cC_JPEG%2F%25B1%25A4%25C1%25D6_%25B1%25B9%25B8%25B3518%25B9%25CE%25C1%25D6%25B9%25A6%25C1%25F6_1.JPG%3Ftype%3Dm500_500
여행,국립5.18민주묘지5.18추모관,부속건물,광주 북구 민주로 200,운정동 563복,광주광역시,[],
여행,광주예술의전당,공연장,광주 북구 북문대로 60,운암동 328-16복,광주광역시,['http://gjart.gwangju.go.kr/'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_125%2F1441054149368FFKRc_JPEG%2F11847103_0.jpg
여행,광주기아챔피언스필드,프로야구장,광주 북구 서림로 10 무등종합경기장,임동 316 광주기아챔피언스필드복,광주광역시,['http://www.tigers.co.kr/ticket/information.asp'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200124_236%2F1579877916142pic2L_JPEG%2F1N0tD0cgXJC3iXCk4PbG7c_3.jpg
여행,전남대학교 광주캠퍼스 박물관,박물관,광주 북구 용봉로 77 전남대학교,용봉동 300복,광주광역시,['museum.jnu.ac.kr'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191123_163%2F1574513697095hAkhU_JPEG%2FXPc4NkBD6p0qgFqtOWrsa0WP.jpeg.jpg
여행,작괘천불고기,소고기구이,울산 울주군 삼남읍 등억알프스로 94-6,교동리 1706-6복,울산광역시 울주군,['http://jakgogi.co.kr/'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230811_279%2F1691740856394tUP6l_JPEG%2FIMG_9412.jpeg
여행,국립대운산치유의숲,"휴양림,산림욕장",울산 울주군 온양읍 대운상대길 225-92,운화리 산159-1복,울산광역시 울주군,['https://blog.naver.com/fowi9800'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190905_115%2F15676744147703brk7_JPEG%2F66cTdz8ov50f52mdxJeoBRFr.JPG.jpg
여행,간절곶스포츠파크,"도시,테마공원",울산 울주군 서생면 노석골길 96,서생리 725-7복,울산광역시 울주군,['http://www.uljusiseol.or.kr/'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzEwMTdfOTkg%2FMDAxNjk3NTI1MTczMzY0.Mcsb665HOY3afMLTBgp1QxWn_ywFJPb7Pc_6c-G7RTcg.Ae8EKo15wZX3m5OAgGcuo1MV9yFLUZgrIXMRelfqXgQg.JPEG.rush0720%2F1697524575171.jpg
여행,어답산관광지,"관람,체험",원 횡성군 갑천면 병지방리 513-2,"우편번호
225842복",강원특별자치도 횡성군,[],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzA4MjVfMTc0%2FMDAxNjkyOTE4NzUwMjA1.ZLQCBzN7kP7CQYIm5-Xqh5x9GXg-G5OdJ2_1ddHua-gg.SXMN1feBBXCSn17RH8_3sYCBrLUo-fmKqzGfZocDeVgg.JPEG.adel0306%2F1692917968451.jpg
여행,유현문화관광지,"관람,체험",강원 횡성군 경강로유현1길 50,서원면 유현리 1122-2복,강원특별자치도 횡성군,[],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDA3MjVfMTUw%2FMDAxNTk1Njc4NDU4NDM3._3nC2pk1N69MAeOD8ogifKpcivfvy6rjswAVbKdJsPYg.2yVbGbffP3ZBjPVd5QyxCfAvWCFqjDEMmU1_UzEdSEQg.JPEG.jun_eun_love%2Foutput_1236401598.jpg
여행,송산근린공원,근린공원,주 광산구 송산동 177,"우편번호
506451복",광주광역시,[],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fmoment-phinf.pstatic.net%2FMjAyMzA1MjhfMjYw%2FMDAxNjg1MjYxOTQ3ODU2.qf8af_xDb2lE2QMa2lddXOWrPAPvZCXrT3P2rU614SUg.ZIysO-5mLosbhd0VuyP7EF3IeM_N_nTf-dfCxf-5zOMg.JPEG%2F2220964d-20fb-49c7-bad0-e4cf29cc849f.jpg
여행,광주광역시도시공사 영락사이버추모공원,장례식장,광주 북구 영락공원로 170 영락공원,효령동 100-2복,광주광역시,['http://www.cyberyoungrak.or.kr/'],
여행,펭귄마을,"관람,체험",광주 남구 천변좌로446번길 7,양림동 201-64복,광주광역시,[],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200425_22%2F1587802444131NA78Q_JPEG%2F2FLFKmUcJJNISBbU61tx5d0B.jpg
여행,빛고을농촌테마공원,테마공원,광주 남구 포충로 966-15,양과동 1290복,광주광역시,[],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20230624_64%2F1687609886991Uwz2R_JPEG%2F08c583ca-128b-11ee-83da-d4f5ef5906a4_03.jpg
